,Gates,Bays,Station_Dist,Gate_Value,Gate_OFC,Bay_Value,Bay_OFC,Speed_Value,Speed_OFC,Fleet_Value,Fleet_OFC,Best_Intrv,Best_Value,Best_OFC
65,1,11,300,6.0,0.5961,,,75.0,0.7536,75.0,0.6851999999999999,Transportation Speed,75.0,0.7536
66,1,12,25,2.0,1.9158000000000004,,,35.0,0.8999999999999999,75.0,0.9209999999999998,Terminal Gate Time,2.0,1.9158000000000004
67,1,12,50,2.0,1.6538999999999997,22.5,0.8970000000000001,55.0,0.8882999999999998,75.0,0.9006000000000001,Terminal Gate Time,2.0,1.6538999999999997
68,1,12,100,3.0,1.1943,37.5,0.8328,55.0,0.852,75.0,0.8601,Terminal Gate Time,3.0,1.1943
69,1,12,150,5.0,0.9033,,,75.0,0.8478,75.0,0.8142,Terminal Gate Time,5.0,0.9033
70,1,12,200,6.0,0.7512,30.0,0.7368,65.0,0.8019,100.0,0.7761000000000001,Transportation Speed,65.0,0.8019
71,1,12,300,6.0,0.5997,,,75.0,0.7527000000000001,75.0,0.6963,Transportation Speed,75.0,0.7527000000000001
72,1,13,25,2.0,2.0211,37.5,0.8991,45.0,0.9050999999999996,75.0,0.924,Terminal Gate Time,2.0,2.0211
73,1,13,50,1.0,1.701,25.0,0.894,35.0,0.8660999999999999,75.0,0.9024,Terminal Gate Time,1.0,1.701
74,1,13,100,2.0,1.2219000000000002,40.0,0.8244,65.0,0.8640000000000001,100.0,0.8595000000000002,Terminal Gate Time,2.0,1.2219000000000002
75,1,13,150,5.0,0.9171,,,65.0,0.8349000000000001,75.0,0.8190000000000001,Terminal Gate Time,5.0,0.9171
76,1,13,200,6.0,0.7509000000000002,,,75.0,0.8171999999999999,75.0,0.7752,Transportation Speed,75.0,0.8171999999999999
77,1,13,300,6.0,0.6093,,,75.0,0.741,75.0,0.6933000000000001,Transportation Speed,75.0,0.741
78,1,14,25,2.0,2.0589,42.5,0.8991,45.0,0.9006,75.0,0.9225,Terminal Gate Time,2.0,2.0589
79,1,14,50,1.0,1.7076,27.5,0.8943,35.0,0.8615999999999999,75.0,0.9056999999999996,Terminal Gate Time,1.0,1.7076
80,1,14,100,2.0,1.215,40.0,0.8370000000000001,65.0,0.8646,75.0,0.8580000000000002,Terminal Gate Time,2.0,1.215
81,1,14,150,4.0,0.9222,,,75.0,0.8508,75.0,0.816,Terminal Gate Time,4.0,0.9222
82,1,14,200,6.0,0.7461000000000001,,,75.0,0.8169,75.0,0.7788000000000002,Transportation Speed,75.0,0.8169
83,1,14,300,6.0,0.6009,,,75.0,0.7469999999999999,75.0,0.6774,Transportation Speed,75.0,0.7469999999999999
84,1,15,25,1.0,2.1078,20.0,0.9278999999999998,45.0,0.9035999999999998,100.0,0.9288,Terminal Gate Time,1.0,2.1078
85,1,15,50,1.0,1.6938,30.0,0.8975999999999996,35.0,0.8619,75.0,0.8961,Terminal Gate Time,1.0,1.6938
86,1,15,100,3.0,1.2072000000000005,30.0,0.8393999999999999,55.0,0.8570999999999999,75.0,0.8589000000000002,Terminal Gate Time,3.0,1.2072000000000005
87,1,15,150,5.0,0.9039,32.5,0.7941,75.0,0.8433,75.0,0.8130000000000001,Terminal Gate Time,5.0,0.9039
88,1,15,200,5.0,0.7631999999999999,,,65.0,0.7965,75.0,0.7701,Transportation Speed,65.0,0.7965
