,Iteration,Gates,Bays,Station_Dist,Truck_Speed,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_HoS,Fleet
315,22,1,1,50,55,189000.0,1.105,4.234,0.961,7,35,14,50
316,22,1,1,50,65,189000.0,1.0,4.457,0.736,7,35,14,50
317,22,1,1,50,75,198000.0,1.1,4.589,0.676,7,35,14,50
318,23,1,1,50,25,180000.0,1.0,4.735,1.983,7,35,14,50
319,23,1,1,50,35,180000.0,1.0,4.407,1.4,7,35,14,50
320,23,1,1,50,45,189000.0,1.0,4.251,1.131,7,35,14,50
321,23,1,1,50,55,189000.0,1.0,4.352,0.882,7,35,14,50
322,23,1,1,50,65,189000.0,1.0,4.752,0.787,7,35,14,50
323,23,1,1,50,75,189000.0,1.05,4.293,0.72,7,35,14,50
324,24,1,1,50,25,189000.0,1.0,4.653,1.245,7,35,14,50
325,24,1,1,50,35,189000.0,1.0,4.58,0.951,7,35,14,50
326,24,1,1,50,45,189000.0,1.0,4.514,0.734,7,35,14,50
327,24,1,1,50,55,189000.0,1.0,4.959,0.602,7,35,14,50
328,24,1,1,50,65,189000.0,1.0,4.76,0.508,7,35,14,50
329,24,1,1,50,75,189000.0,1.05,4.555,0.489,7,35,14,50
330,25,1,1,50,25,189000.0,1.0,4.478,1.589,7,35,14,50
331,25,1,1,50,35,189000.0,1.05,4.077,1.205,7,35,14,50
332,25,1,1,50,45,189000.0,1.05,4.325,0.964,7,35,14,50
333,25,1,1,50,55,189000.0,1.0,4.754,0.783,7,35,14,50
334,25,1,1,50,65,189000.0,1.0,4.757,0.665,7,35,14,50
335,25,1,1,50,75,189000.0,1.0,4.801,0.593,7,35,14,50
336,26,1,1,50,25,171000.0,1.0,4.598,1.327,7,35,14,50
337,26,1,1,50,35,180000.0,1.0,4.569,0.943,7,35,14,50
338,26,1,1,50,45,180000.0,1.053,4.594,0.759,7,35,14,50
339,26,1,1,50,55,189000.0,1.0,4.805,0.63,7,35,14,50
340,26,1,1,50,65,189000.0,1.105,4.59,0.583,7,35,14,50
341,26,1,1,50,75,189000.0,1.0,4.548,0.485,7,35,14,50
342,27,1,1,50,25,162000.0,1.059,3.919,1.89,7,35,14,50
343,27,1,1,50,35,189000.0,1.05,4.56,1.399,7,35,14,50
344,27,1,1,50,45,189000.0,1.05,4.625,1.178,7,35,14,50
345,27,1,1,50,55,180000.0,1.053,4.298,1.0,7,35,14,50
346,27,1,1,50,65,189000.0,1.05,4.59,0.845,7,35,14,50
347,27,1,1,50,75,189000.0,1.05,4.487,0.743,7,35,14,50
348,28,1,1,50,25,162000.0,1.0,4.702,1.387,7,35,14,50
349,28,1,1,50,35,180000.0,1.0,4.704,1.073,7,35,14,50
350,28,1,1,50,45,180000.0,1.0,4.805,0.879,7,35,14,50
351,28,1,1,50,55,180000.0,1.0,4.927,0.787,7,35,14,50
352,28,1,1,50,65,189000.0,1.0,4.638,0.677,7,35,14,50
353,28,1,1,50,75,180000.0,1.0,4.292,0.565,7,35,14,50
354,29,1,1,50,25,180000.0,1.0,4.629,1.982,7,35,14,50
355,29,1,1,50,35,180000.0,1.0,4.267,1.432,7,35,14,50
356,29,1,1,50,45,180000.0,1.0,4.882,1.169,7,35,14,50
357,29,1,1,50,55,180000.0,1.0,4.827,0.949,7,35,14,50
358,29,1,1,50,65,180000.0,1.0,4.389,0.804,7,35,14,50
359,29,1,1,50,75,198000.0,1.0,4.531,0.67,7,35,14,50
360,0,1,1,100,25,162000.0,1.0,4.241,2.071,7,35,14,50
361,0,1,1,100,35,171000.0,1.0,4.631,1.858,7,35,14,50
362,0,1,1,100,45,180000.0,1.0,5.022,1.527,7,35,14,50
