,Gates,Bays,Station_Dist,Parameter,Value,p-value,DES_Mono,Avg_OFC
5870,2,10,100,HoS,17,5.553211246786602e-10,True,1.4990999999999999
5871,2,10,100,HoS,18,8.59596289883967e-13,True,1.6194000000000002
5872,2,10,100,Fleet,25,1.1367737632430214e-43,True,0.5919000000000001
5873,2,10,100,Fleet,50,3.9657350243851496e-53,True,1.1664
5874,2,10,100,Fleet,75,1.9873662054242177e-35,True,1.5588
5875,2,10,100,Fleet,100,8.946312178514516e-13,True,1.6773
5876,2,10,100,Fleet,125,0.0009610296686433652,True,1.7076
5877,2,10,100,Fleet,150,0.043279029632329005,True,1.7202000000000004
5878,2,10,100,Fleet,175,0.8810098454600042,True,1.7211000000000003
5879,2,10,100,Fleet,200,0.6629486355409413,False,1.7187000000000003
5880,2,10,150,Gate,1,0.7872374637526712,False,0.9663000000000002
5881,2,10,150,Gate,2,0.26228923841046314,True,0.9696
5882,2,10,150,Gate,3,0.7846630338850393,False,0.9555
